Category,Appliance,Type,min_power_w,max_power_w,hours_per_day_min,hours_per_day_max,surge_factor,Notes
"Health, Medical & Lab Equipment",Surgical Tools,Surgical Lights (LED/Halogen),100,500,2,8,1.5,"Specialized lighting for operating theaters providing bright, shadow-free illumination essential for precision during medical procedures."
"Health, Medical & Lab Equipment",Ultrasound Machines,Portable Ultrasound,200,500,2,8,1.2,Mobile diagnostic imaging equipment for clinics and mobile health outreaches. Enables medical imaging in remote areas.
"Health, Medical & Lab Equipment",Ultrasound Machines,Standard Hospital Unit,500,1500,4,12,1.5,Fixed ultrasound equipment for hospitals and diagnostic centers. Comprehensive imaging capabilities for obstetrics and cardiology.
"Health, Medical & Lab Equipment",X-Ray Machines,Portable X-Ray,500,2000,1,4,2,Mobile radiographic equipment for small clinics and dental offices. Flexibility for point-of-care imaging and mobile healthcare delivery.
"Health, Medical & Lab Equipment",X-Ray Machines,Standard Radiology X-Ray,3000,10000,2,6,2.5,Fixed radiographic equipment for hospitals and imaging centers. High-power requirements for comprehensive diagnostic imaging.
Large Cooking Appliances,Cooker with Oven,Standard (4-Burner + Oven),2500,5000,1,4,1.3,Complete cooking solution combining stovetop and oven functionality common in Nigerian families. Versatile for diverse cooking methods.
Large Cooking Appliances,Cooker with Oven,Premium (5–6 Burners + Oven),3500,7000,1,5,1.3,Large cooking appliances for bigger households and restaurants. Enhanced cooking capacity for large-scale food preparation.
Large Cooking Appliances,Deep Fryer,Small (1–2L),800,1200,0.25,1,1.2,Compact electric fryers for small kitchens and students. Suitable for personal use and small portions of fried plantains and yam.
Large Cooking Appliances,Deep Fryer,Medium (2–4L),1200,1800,0.25,1,1.2,"Standard deep fryers for families and small food businesses. Common for preparing fried chicken, fish, and traditional Nigerian dishes."
Large Cooking Appliances,Deep Fryer,Large (5L+),1800,2500,1,2,1.2,Commercial deep fryers for restaurants and catering businesses. High-capacity frying for commercial food preparation and service operations.
Large Cooking Appliances,Electric Grill/Oven Combo,Compact Grill Oven,1500,2000,0.5,2,1.2,Small cooking appliances combining grilling and oven functions for compact kitchens and small restaurants. Space-saving multiple cooking methods.
Large Cooking Appliances,Electric Grill/Oven Combo,Large Grill Oven,2000,4000,1,4,1.2,Commercial cooking equipment for hotels and catering services. High-capacity cooking for professional food service and large-scale preparation.
Large Cooking Appliances,Electric Oven,Countertop (20–40L),1200,2000,0.5,2,1.3,Popular baking equipment for home-based cake and pastry businesses. Essential for Nigeria's growing entrepreneurial baking sector.
Large Cooking Appliances,Electric Oven,Built-in Wall Oven,2000,3500,0.5,2,1.3,Premium cooking appliances for modern kitchens and luxury apartments. Integrated design for contemporary kitchen aesthetics.
Large Cooking Appliances,Electric Oven,Commercial Oven,3000,6000,1,6,1.3,"Industrial baking equipment for bakeries and large-scale food production. High-capacity, continuous-operation ovens for commercial baking."
Large Cooking Appliances,Electric Roaster,Compact (3–5L),1000,1500,0.5,2,1.2,Small roasting appliances for chicken and meat preparation. Less common but useful for specific roasted food preparation methods.
Large Cooking Appliances,Electric Roaster,Large (10–20L),1500,2500,1,3,1.2,Commercial roasting equipment for catering and large-scale food preparation. High-capacity roasting for parties and food service operations.
Large Cooking Appliances,Electric Stove,Single Burner Hotplate,1000,1500,0.5,2,1.2,Basic electric cooking for students and small households. Portable and affordable cooking solution for minimal cooking requirements.
Large Cooking Appliances,Electric Stove,Double Burner Hotplate,1500,2500,0.5,3,1.2,Moderate cooking capacity for small to medium households. Good balance of cooking capability and affordability for apartment living.
Large Cooking Appliances,Electric Stove,4-Burner Electric Stove,2000,4000,1,4,1.2,Full cooking capability for larger households and complete meal preparation. Common in urban areas with reliable electricity.
Large Cooking Appliances,Electric Stove,Induction Cooktop (1–2),1200,2200,0.5,2,1.3,Premium cooking technology for modern kitchens emphasizing energy efficiency and precise temperature control. Growing adoption in upscale homes.
Large Cooking Appliances,Microwave Oven,Compact (17–20L),700,1000,0.25,1,1.2,Small microwave ovens for reheating and quick cooking for students and small families. Space-saving appliance for minimal cooking needs.
Large Cooking Appliances,Microwave Oven,Standard (20–25L),1000,1500,0.25,1,1.2,Most common microwave size for average homes providing good capacity for family reheating and basic cooking needs.
Large Cooking Appliances,Microwave Oven,Convection/Multi-Function,1200,2000,0.25,1,1.3,Advanced microwave ovens with additional cooking functions including grilling and convection. Premium appliances for comprehensive cooking.
Large Cooking Appliances,Microwave Oven (Solar),Compact DC Microwave,600,1200,0.5,2,2,Energy-efficient microwave ovens designed for solar power systems and off-grid homes. Direct current operation compatible with solar batteries.
Large Cooking Appliances,Pizza Oven,Countertop Pizza Oven,1000,2000,0.25,1,1.3,Specialized cooking appliances for small pizzerias and premium homes. Compact pizza preparation equipment for artisan cooking.
Large Cooking Appliances,Pizza Oven,Commercial Pizza Oven,4000,8000,1,8,1.3,"Industrial pizza cooking equipment for pizzerias and restaurants. High-temperature, high-capacity pizza preparation for commercial operations."
Laundry & Cleaning Appliances,Clothes Dryer,Venting Dryer,1500,2500,1,3,1.5,Electric clothes drying equipment rare in Nigeria due to sunny weather. Seen in urban apartments where outdoor drying not feasible.
Laundry & Cleaning Appliances,Clothes Dryer,Condenser Dryer,1800,3000,1,3,1.5,Premium clothes drying equipment for urban middle and upper-class homes. Advanced drying technology for indoor laundry completion.
Laundry & Cleaning Appliances,Clothes Dryer,Washer-Dryer Combo,2000,3500,1,3,1.5,Combined washing and drying appliances for space-limited apartments. Compact solution where separate appliances not feasible.
Laundry & Cleaning Appliances,Clothes Dryer,Industrial Dryer,3000,6000,2,6,2,"Commercial clothes drying equipment for laundromats, hotels, and commercial laundry services. High-capacity drying for business operations."
Laundry & Cleaning Appliances,Dishwasher,Compact Countertop,1200,1800,0.5,2,1.5,"Small dishwashing appliances rare in Nigeria, seen in upscale homes. Automated dish cleaning for modern kitchen convenience."
Laundry & Cleaning Appliances,Dishwasher,Full-size Dishwasher,1800,2500,1,2,1.5,"Large dishwashing appliances very rare, found in luxury homes and some restaurants. Complete automated dish cleaning systems."
Laundry & Cleaning Appliances,Iron (Pressing Iron),Dry Iron,1000,1500,0.25,1,1.5,Basic pressing equipment widely used across Nigeria for clothing care. Essential household appliance for garment maintenance and appearance.
Laundry & Cleaning Appliances,Iron (Pressing Iron),Steam Iron,1200,2000,0.25,1,1.5,Advanced ironing equipment providing better wrinkle removal with steam function. Popular in middle-class homes and commercial laundries.
Laundry & Cleaning Appliances,Iron (Pressing Iron),Cordless Iron,800,1200,0.25,1,1.5,Rechargeable pressing equipment less common but premium option. Battery-powered operation for convenient cordless ironing.
Laundry & Cleaning Appliances,Iron (Pressing Iron),Industrial Iron (Heavy),2000,4000,0.5,2,1.5,"Heavy-duty pressing equipment for hotels, tailoring shops, and uniform services. Commercial-grade durability for continuous professional use."
Laundry & Cleaning Appliances,Iron (Pressing Iron) (Solar),DC Dry Iron (24/48V),300,600,0.5,2,2,Lightweight pressing equipment designed for solar power systems. Energy-efficient ironing compatible with solar battery systems.
Laundry & Cleaning Appliances,Polisher,Floor Polisher,600,1200,1,3,1.3,"Electric floor maintenance equipment found in offices, schools, and hotels. Professional floor cleaning and polishing for commercial spaces."
Laundry & Cleaning Appliances,Sewing Machine,Manual/Electric Hybrid,30,80,1,4,1,Traditional sewing equipment in tailoring shops across Nigeria. Basic clothing production and alteration services.
Laundry & Cleaning Appliances,Sewing Machine,Industrial Electric,300,800,2,8,1.2,"Professional sewing equipment in commercial tailoring shops. High-speed, heavy-duty sewing for clothing production businesses."
Laundry & Cleaning Appliances,Sewing Machine,Embroidery Machine,500,1200,2,6,1.3,Specialized sewing equipment for fashion design and branding shops. Decorative stitching and logo embroidery for custom clothing.
Laundry & Cleaning Appliances,Steam Cleaner,Handheld Steam Cleaner,800,1200,0.25,1,1.3,Portable cleaning equipment for tiles and fabrics. Used in middle-class homes and professional cleaning services.
Laundry & Cleaning Appliances,Steam Cleaner,Floor Steam Mop,1000,1500,0.25,1,1.3,"Floor cleaning equipment for upscale homes, hotels, and offices. Advanced floor sanitization using steam cleaning technology."
Laundry & Cleaning Appliances,Vacuum Cleaner,Handheld Vacuum,100,300,0.25,1,1.2,Portable cleaning equipment used in cars and small households. Compact suction cleaning for vehicles and furniture.
Laundry & Cleaning Appliances,Vacuum Cleaner,Upright Vacuum,400,1200,0.25,2,1.3,Standard household cleaning equipment popular in homes and offices. Comprehensive floor cleaning with motorized brush systems.
Laundry & Cleaning Appliances,Vacuum Cleaner,Canister Vacuum,800,1600,0.25,2,1.3,Powerful cleaning equipment common in hotels and large offices. Higher suction capacity for commercial and residential deep cleaning.
Laundry & Cleaning Appliances,Vacuum Cleaner,Robotic Vacuum,30,60,1,4,1,"Automated cleaning equipment rare in Nigeria, found only in premium households. Self-operating floor cleaning technology"
Laundry & Cleaning Appliances,Vacuum Cleaner,Industrial Vacuum,1000,3000,0.5,4,1.5,"Heavy-duty cleaning equipment for hotels, event halls, and factories. Commercial-grade suction cleaning for large facilities."
Laundry & Cleaning Appliances,Washing Machine,Manual (Non-Automatic),200,400,0.5,2,1.5,"Basic washing machines without spin cycle, common in rural areas and low-income homes. Requires manual water filling and draining."
Laundry & Cleaning Appliances,Washing Machine,Semi-Automatic (Twin Tub),300,600,0.5,2,1.5,Most widespread washing machine type in Nigeria. Affordable option requiring manual water filling with separate wash and spin tubs.
Laundry & Cleaning Appliances,Washing Machine,Fully Automatic (Top Load),500,1000,0.5,2,1.5,Convenient washing machines for urban homes with reliable water supply. Automated operation with minimal manual intervention.
Laundry & Cleaning Appliances,Washing Machine,Fully Automatic (Front Load),800,2000,0.5,2,1.8,Premium washing machines offering gentle clothes care and water efficiency. Higher cost limits adoption to upscale homes.
Laundry & Cleaning Appliances,Washing Machine,Industrial Washer,2000,5000,4,12,2,"Commercial washing equipment for hotels, hospitals, and commercial laundries. High-capacity washing for business laundry operations."
Laundry & Cleaning Appliances,Washing Machine (Solar),Small DC Washer (4–6kg),200,400,1,2,2,Compact washing machines designed for solar power systems in rural households. Energy-efficient washing compatible with solar batteries.
Laundry & Cleaning Appliances,Washing Machine (Solar),Large DC Washer (7–12kg),500,1000,1,2,2,Family-sized washing machines for solar-powered homes and off-grid estates. Higher capacity washing for larger households.
Laundry & Cleaning Appliances,Water Extractor,Carpet/Water Vacuum,1000,2000,0.25,2,1.3,"Specialized cleaning equipment for water extraction from carpets and upholstery. Used in cleaning services, hotels, and large offices."
Lighting & Small Power Devices,Chargers,Basic Phone Charger,3,15,2,6,1,"Universal mobile device charging equipment for smartphones from Tecno, Infinix, iPhone, and other brands. Essential daily-use accessory."
Lighting & Small Power Devices,Chargers,Fast Charger (18–65W),18,65,2,6,1,High-speed charging equipment for modern Android and iPhone devices. Rapid charging technology for busy professionals and students
Lighting & Small Power Devices,Chargers,Laptop Charger (45–120W),45,120,2,8,1,"Power adapters for laptop computers varying by brand and model. Dell, HP, MacBook, and Lenovo chargers with different power ratings."
Lighting & Small Power Devices,Chargers,Multi-port USB Charger,10,60,2,8,1,"Charging stations for multiple devices simultaneously. Used in offices, homes, and public spaces for convenient device charging."
Lighting & Small Power Devices,Clocks,Digital Alarm Clock,2,10,6,24,1,Electronic timekeeping devices for bedrooms and hotels. Basic time display with alarm functions for daily scheduling.
Lighting & Small Power Devices,Clocks,Wall Clock (Battery/Electric),1,5,6,24,1,"Time display devices common in homes, schools, and offices. Essential timekeeping for scheduling and time awareness."
Lighting & Small Power Devices,Extension/Adapters,Multi-plug Extension Box,5,15,4,12,1,"Common in homes, offices, shops."
Lighting & Small Power Devices,Extension/Adapters,Surge Protector Extension,10,30,4,12,1,"Found in offices, tech setups."
Lighting & Small Power Devices,Lamps,Rechargeable Lantern,2,10,2,12,1,"Common during outages; QASA, Elepaq brands."
Lighting & Small Power Devices,Lamps,Desk/Study Lamp (LED),3,15,2,8,1,"Students, offices."
Lighting & Small Power Devices,Lamps,Decorative Lamp/Chandelier,20,100,2,6,1,"Premium homes, hotels."
Lighting & Small Power Devices,Lanterns,Rechargeable LED Lantern,3,10,2,8,1,Widely used during power outages.
Lighting & Small Power Devices,Lanterns,Kerosene Lantern (Electric Wick Igniter),5,15,2,6,1,"Hybrid design, rare but still found in rural markets."
Lighting & Small Power Devices,Lanterns (Solar),Portable Solar Lantern,3,10,4,12,1,"Affordable, rural use"
Lighting & Small Power Devices,Light Bulbs,Incandescent (40–100W),40,100,4,12,1,"Old models, still found in rural homes."
Lighting & Small Power Devices,Light Bulbs,CFL (Energy Saver),9,23,4,12,1,Widely used in Nigerian households.
Lighting & Small Power Devices,Light Bulbs,LED Bulb (5–20W),5,20,4,12,1,"Current standard; used in homes, offices, streets."
Lighting & Small Power Devices,Light Bulbs,Smart LED Bulb,7,20,4,12,1,Wi-Fi/app control; mostly in premium homes.
Lighting & Small Power Devices,Light Bulbs,Solar DC Bulb,3,15,4,12,1,Most common lighting
Lighting & Small Power Devices,Other Small Devices,Emergency Light (LED Tube),5,20,2,8,1,Common backup in Nigerian homes.
Lighting & Small Power Devices,Other Small Devices,Camping Light,5,30,2,8,1,"Outdoor, village markets."
Lighting & Small Power Devices,Other Small Devices,Mosquito Zapper Lamp,5,20,4,10,1,"Used in homes, rural communities to fight mosquitoes."
Lighting & Small Power Devices,Other Small Devices,Night Light (Kids Room),1,5,6,12,1,"Found in nurseries, children’s rooms."
Lighting & Small Power Devices,Outdoor Lighting,Solar Garden Light,1,10,6,12,1,"Used in compounds, pathways."
Lighting & Small Power Devices,Outdoor Lighting,Security Floodlight (LED),20,200,6,12,1,"Common in homes, streets, businesses."
Lighting & Small Power Devices,Outdoor Lighting,Halogen Floodlight,150,500,4,12,1,"Older tech, used in sports fields, events."
Lighting & Small Power Devices,Outdoor Lighting,Street Light (Solar LED),30,120,10,12,1,Increasingly adopted in Nigerian towns.
Lighting & Small Power Devices,Power Banks,"Small (5,000–10,000mAh)",5,15,2,6,1,"Personal daily use, fits pocket."
Lighting & Small Power Devices,Power Banks,"Medium (20,000mAh)",10,25,2,6,1,"Most common in Nigeria (Oraimo, Anker)."
Lighting & Small Power Devices,Power Banks,"Large (30,000–50,000mAh)",20,40,2,6,1,"Students, business people, rural users."
Lighting & Small Power Devices,Power Banks,"Ultra (50,000mAh–100,000mAh)",40,100,2,6,1,"Rare, premium; can charge laptops and multiple phones."
Lighting & Small Power Devices,Torches/Flashlights,Rechargeable Torch,3,10,2,6,1,"Widely used in outages, villages."
Lighting & Small Power Devices,Torches/Flashlights,Heavy-duty LED Flashlight,10,50,2,6,1,"Security guards, outdoor use."
Lighting & Small Power Devices,Torches/Flashlights,Headlamp (LED),2,10,2,6,1,"Used by mechanics, engineers, hunters."
Mobile & Personal Devices,Bluetooth Devices,Bluetooth Earbuds,1,5,2,10,1,Most common mobile accessory.
Mobile & Personal Devices,Bluetooth Devices,Bluetooth Headphones,3,10,2,10,1,"For music lovers, gamers."
Mobile & Personal Devices,Bluetooth Devices,Bluetooth Speaker (Mini),5,15,2,8,1,"Used in homes, schools, hangouts."
Mobile & Personal Devices,Bluetooth Devices,Bluetooth Speaker (Large),20,60,2,8,1,"Parties, outdoor gatherings."
Mobile & Personal Devices,E-Readers,Kindle/Nook,3,10,2,8,1,"Rare in Nigeria, used by book lovers."
Mobile & Personal Devices,Portable Consoles,Nintendo Switch,10,20,1,6,1,Gaming; middle-class youth.
Mobile & Personal Devices,Portable Consoles,PlayStation Portable (PSP),5,15,1,6,1,Legacy handheld gaming.
Mobile & Personal Devices,Power Bank,"Small (5,000 - 10,000mAh)",5,10,12,12,4,1
Mobile & Personal Devices,Power Bank,"Medium (10,000 - 20,000mAh)",10,20,12,12,4,1
Mobile & Personal Devices,Power Bank,"Large (20,000 - 40,000mAh)",20,40,12,12,4,1
Mobile & Personal Devices,Power Bank,"Extra Large (50,000mAh)",40,80,12,12,4,1
Mobile & Personal Devices,Power Bank,"Ultra Capacity (60,000 - 100,000mAh)",60,150,12,12,4,1
Mobile & Personal Devices,Power Bank,"Fitness Band (Fitbit, Xiaomi)",1,3,24,24,8,1
Office & Computing Devices,Desktop PC,Basic Office Desktop,100,250,4,10,1.3,"Used in cybercafés, offices, schools; brands: Dell, HP, Lenovo."
Office & Computing Devices,Desktop PC,Gaming Desktop,300,800,2,8,1.5,"Heavy GPU usage, common among gamers & design professionals."
Office & Computing Devices,Desktop PC,Workstation (CAD/3D),400,1000,2,10,1.5,"High-power; engineers, architects, video editors."
Office & Computing Devices,Laptop PC,Netbook/Chromebook,20,50,4,12,1.1,Lightweight; used by students.
Office & Computing Devices,Laptop PC,Ultrabook,30,60,4,12,1.1,"Slim laptops (Dell XPS, MacBook Air); business/urban users."
Office & Computing Devices,Laptop PC,Standard Laptop,50,120,4,12,1.1,"Most common (HP, Dell, Acer)."
Office & Computing Devices,Laptop PC,Gaming Laptop,120,250,2,8,1.3,High-performance; gamers & designers.
Office & Computing Devices,Laptop PC,MacBook Pro,40,120,4,12,1.1,"Creative professionals, upper-class users."
Office & Computing Devices,Monitors,LCD Monitor (19–24 Inches),20,50,4,12,1.1,Widely used in offices & homes.
Office & Computing Devices,Monitors,LED Monitor (24–32 Inches),25,80,4,12,1.1,Standard modern type.
Office & Computing Devices,Monitors,4K/Ultra-Wide Monitor,40,120,2,8,1.2,Premium workstations & gamers.
Office & Computing Devices,Networking Devices,Wi-Fi Router,5,20,12,24,1.1,"Homes, offices, cybercafés."
Office & Computing Devices,Networking Devices,Modem (4G/5G),3,10,8,24,1,Common for mobile internet.
Office & Computing Devices,Networking Devices,Switch/Hub,10,40,12,24,1.1,"Offices, server rooms."
Office & Computing Devices,Networking Devices,Server (Small Business),200,600,8,24,1.5,Corporate/IT firms.
Office & Computing Devices,Projectors (Office),Standard Projector,150,300,1,4,1.2,"Schools, offices, churches."
Office & Computing Devices,Projectors (Office),Short-Throw Projector,200,400,1,4,1.3,Premium boardrooms.
Office & Computing Devices,Scanners,Flatbed Scanner,20,50,0.25,2,1.1,"Offices, schools."
Office & Computing Devices,Scanners,Document Feeder Scanner,30,80,0.25,2,1.2,"Used in banks, corporate offices."
Office & Computing Devices,Telecommunication,Landline Phone,2,10,2,6,1,Legacy devices in offices.
Office & Computing Devices,Telecommunication,IP Phone (VoIP),3,15,2,8,1,"Found in call centers, offices."
Office & Computing Devices,UPS (Backup Power),Small (600–1000VA),50,100,0.25,1,1.5,Homes & small offices.
Office & Computing Devices,UPS (Backup Power),Medium (1500–2000VA),100,300,0.25,1,1.5,"Offices, schools."
Office & Computing Devices,UPS (Backup Power),Large (3–5KVA),300,1000,0.25,1,1.5,"Businesses, data centers."
Office Appliances,Cash Register,Basic Register,20,50,2,10,1,"Used in shops, supermarkets, and retail businesses."
Office Appliances,Fax Machine,Standard Fax,15,30,0.25,2,1,Rare today; still used in banks and some offices.
Office Appliances,Laminating Machine,A4 Laminator,200,400,0.25,2,1.2,"Found in schools, cybercafés, and offices."
Office Appliances,Laminating Machine,Industrial Laminator,1000,2000,1,4,1.5,Found in big printing shops and commercial centers.
Office Appliances,Photocopier,Small Office Copier,600,1200,1,6,1.3,"Found in schools, business centers, and small offices."
Office Appliances,Photocopier,Heavy-Duty Copier,1500,3000,2,10,1.5,"Found in printing presses, government offices, universities."
Office Appliances,Shredder,Personal Shredder,100,300,0.25,2,1.2,Used in small offices for documents.
Office Appliances,Shredder,Heavy-Duty Shredder,500,1000,1,4,1.3,"Common in banks, ministries, and corporate offices."
Personal Care & Grooming Appliances,Electric Toothbrush,Basic Rechargeable,1,5,0.1,0.1,1,Growing popularity in urban households.
Personal Care & Grooming Appliances,Electric Toothbrush,Premium Smart Brush,2,10,0.1,0.1,1,"Bluetooth-enabled, rare in Nigeria."
Personal Care & Grooming Appliances,Facial Steamer,Small Portable,100,300,0.25,1,1,Used at home for skincare.
Personal Care & Grooming Appliances,Facial Steamer,Professional Salon Unit,300,600,0.25,1,1,Widely used in beauty parlors for facials.
Personal Care & Grooming Appliances,Hair Clipper/Trimmer,Corded,10,30,0.25,1,1.2,"Widely used in Nigerian barbershops; brands like Wahl, Andis."
Personal Care & Grooming Appliances,Hair Clipper/Trimmer,Cordless Rechargeable,5,20,0.25,1,1.2,Popular in rural homes with unreliable power.
Personal Care & Grooming Appliances,Hair Clipper/Trimmer,Professional Heavy-duty,20,50,0.5,2,1.5,Used in salons for continuous service.
Personal Care & Grooming Appliances,Hair Curler,Basic Curling Iron,200,500,0.25,0.5,1.2,For personal beauty use.
Personal Care & Grooming Appliances,Hair Curler,Professional Multi-barrel,500,1000,0.5,1,1.2,Popular in fashion/bridal salons.
Personal Care & Grooming Appliances,Hair Dryer,Handheld (Basic),800,1200,0.25,1,1.5,Common in salons; affordable models.
Personal Care & Grooming Appliances,Hair Dryer,Professional Salon Grade,1200,2000,0.5,2,1.5,Stronger airflow; used in busy salons.
Personal Care & Grooming Appliances,Hair Dryer,Travel/Compact,500,800,0.25,0.5,1.5,"Foldable, low wattage, used in hotels or travel."
Personal Care & Grooming Appliances,Hair Straightener,Basic Flat Iron,150,400,0.25,0.5,1.2,Used by ladies for hair styling at home.
Personal Care & Grooming Appliances,Hair Straightener,Professional Salon Grade,400,800,0.5,1,1.2,Stronger ceramic plates; used in salons.
Personal Care & Grooming Appliances,Massage Devices,Handheld Massager,20,60,0.25,0.5,1.2,Used for relaxation in homes.
Personal Care & Grooming Appliances,Massage Devices,Massage Chair (full-body),150,300,0.5,2,2,"Rare, found in spas, luxury homes."
Personal Care & Grooming Appliances,Nail Care Devices,Nail Drill,20,40,0.25,1,1,Used in nail salons for shaping acrylic nails.
Personal Care & Grooming Appliances,Nail Care Devices,UV Nail Lamp,12,48,0.25,1,1,Popular in salons for curing gel polish.
Personal Care & Grooming Appliances,Other Grooming,Electric Manicure Set,10,30,0.25,0.25,1,"Nail salons, rare in homes."
Personal Care & Grooming Appliances,Other Grooming,Hair Removal Device (Laser),50,150,0.25,0.25,1,Rare; used in professional beauty clinics.
Personal Care & Grooming Appliances,Shaver/Trimmer,Electric Foil Shaver,5,15,0.1,0.5,1,Common for facial grooming.
Personal Care & Grooming Appliances,Shaver/Trimmer,Rotary Shaver,5,20,0.1,0.5,1,Premium models like Philips; mostly urban.
Personal Care & Grooming Appliances,Shaver/Trimmer,Beard Trimmer,5,15,0.1,0.5,1,"Battery/USB powered, common in younger men."
Refrigeration Appliances,Cold Room Unit,"Small (Walk-in, 5–10m³)",1000,3000,24,24,3,Small frozen food shops.
Refrigeration Appliances,Cold Room Unit,Large (20–50m³),3000,6000,24,24,3,"Large businesses, markets, cold storage depots."
Refrigeration Appliances,Deep Freezer,Chest Freezer (100–200L),100,250,6,24,3,Common for frozen food storage in homes.
Refrigeration Appliances,Deep Freezer,Large Chest (300–500L),200,400,6,24,3,Widely used in Nigerian shops and small eateries.
Refrigeration Appliances,Deep Freezer,Upright Freezer (200–400L),200,500,6,24,3,Space-saving; used in restaurants and homes.
Refrigeration Appliances,Deep Freezer,Industrial Freezer,500,1500,12,24,3,"Hotels, frozen food businesses."
Refrigeration Appliances,Deep Freezer,"Solar Chest Freezer (100–200L, 24/48V)",100,200,6,20,1.5,"Rural shops, cold drinks"
Refrigeration Appliances,Deep Freezer,"Solar Large Deep Freezer (250L+, 48V)",200,400,6,20,1.5,Fish/meat storage in rural areas
Refrigeration Appliances,Ice Maker Machine,Portable,100,200,2,8,3,"Small parties, home use."
Refrigeration Appliances,Ice Maker Machine,Medium,200,400,4,12,3,"Restaurants, hotels."
Refrigeration Appliances,Ice Maker Machine,Commercial Industrial,500,1500,12,24,3,"Ice businesses, big bars."
Refrigeration Appliances,Portable Coolers,Thermoelectric Cooler,40,80,2,6,1.2,Used in cars and outdoor picnics; keeps drinks cool.
Refrigeration Appliances,Portable Coolers,Mini Car Fridge,50,100,2,6,1.2,Runs on car adapter; popular with travelers and small vendors.
Refrigeration Appliances,Refrigerator,Mini/Compact (50–100L),60,120,6,24,3,"Small offices, hostels, hotel rooms; brands like Midea, Hisense."
Refrigeration Appliances,Refrigerator,Small (100–150L),80,150,6,24,3,Used in 1–2 person households.
Refrigeration Appliances,Refrigerator,Medium (200–300L),100,250,6,24,3,"Standard family fridges (LG, Samsung, Scanfrost)."
Refrigeration Appliances,Refrigerator,Large (400–500L),200,400,6,24,3,"Family-sized, common in middle-class homes."
Refrigeration Appliances,Refrigerator,Premium (Side-by-Side),300,600,6,24,3,Luxury homes; includes water/ice dispensers.
Refrigeration Appliances,Refrigerator,Commercial Display Fridge,300,800,8,24,3,"Supermarkets, restaurants for drinks."
Refrigeration Appliances,Refrigerator,"Small DC Fridge (50–100L, 12/24V)",40,100,8,24,1.5,"For homes, rural shops"
Refrigeration Appliances,Refrigerator,"Medium DC Fridge (150–200L, 24/48V)",100,200,8,24,1.5,Most common household solar fridge
Refrigeration Appliances,Refrigerator,"Large DC Fridge (250L+, 48V)",200,300,8,24,1.5,"Hotels, clinics, supermarkets"
Refrigeration Appliances,Wine Cooler/Chiller,Small (6–12 bottles),50,120,6,24,3,"Premium homes, lounges."
Refrigeration Appliances,Wine Cooler/Chiller,Medium (20–40 bottles),100,200,6,24,3,"Restaurants, bars."
Refrigeration Appliances,Wine Cooler/Chiller,Large (50+ bottles),150,300,6,24,3,"Hotels, luxury homes."
Security & Safety Appliances,Access Control,Biometric Door Lock,5,15,12,24,1,"Used in offices, banks, smart homes."
Security & Safety Appliances,Access Control,Smart Card Reader,5,15,12,24,1,"Installed in hotels, offices."
Security & Safety Appliances,Access Control,Video Doorbell,5,20,2,8,1,"Rare, used in modern smart homes."
Security & Safety Appliances,Alarm Systems,Burglar Alarm (Basic),5,15,12,24,1,"Installed in shops, banks, offices."
Security & Safety Appliances,Alarm Systems,Smart Alarm System,10,30,12,24,1,"Internet-enabled, more urban."
Security & Safety Appliances,CCTV Cameras,Analog CCTV,5,10,12,24,1,"Common in shops, homes, churches."
Security & Safety Appliances,CCTV Cameras,IP Camera (Basic),5,15,12,24,1,Used in homes/offices with internet access.
Security & Safety Appliances,CCTV Cameras,Dome Camera (Indoor),5,12,12,24,1,"Found in offices, banks."
Security & Safety Appliances,CCTV Cameras,Bullet Camera (Outdoor),10,20,12,24,1,"Used in streets, estates, gates."
Security & Safety Appliances,CCTV Cameras,PTZ Camera (Motorized),15,40,12,24,1,"High-end, movable, used in large compounds."
Security & Safety Appliances,Electric Fence,Fence Energizer (Small),10,50,12,24,2,Homes and small compounds.
Security & Safety Appliances,Electric Fence,Fence Energizer (Large),50,200,12,24,2,"Estates, commercial facilities."
Security & Safety Appliances,Fire Safety,Smoke Detector (Standalone),1,5,12,24,1,"Installed in kitchens, hotels."
Security & Safety Appliances,Fire Safety,Smoke Detector (Smart),2,8,12,24,1,Wi-Fi connected; rare in Nigeria.
Security & Safety Appliances,Fire Safety,Fire Alarm Control Panel,20,100,12,24,1,"Used in large buildings, malls."
Security & Safety Appliances,Intercom Systems,Wired Intercom Unit,5,15,2,8,1,"Common in offices, hotels."
Security & Safety Appliances,Intercom Systems,Wireless Intercom,5,20,2,8,1,Rare but growing in smart homes.
Security & Safety Appliances,Motion Sensors,,2,10,12,24,1,"Security lights, alarms."
Security & Safety Appliances,Motion Sensors,Smart Motion Detector,5,15,12,24,1,Connected to CCTV or smart systems.
Security & Safety Appliances,Other Devices,Siren (Emergency),10,100,0.1,0.5,1,"Used in police, fire trucks, compounds."
Security & Safety Appliances,Other Devices,Floodlight (Security Light),50,200,6,12,1,Outdoor security lighting.
Security & Safety Appliances,Other Devices,Solar Security Light,2,20,6,12,0,"Standalone solar; widely used in estates, villages."
Small Kitchen Appliances,Air Fryer,Compact (2–3L),800,1200,0.5,2,1.3,"Urban homes, health-conscious."
Small Kitchen Appliances,Air Fryer,Standard (4–5L),1200,1800,0.5,2,1.3,Common size for families.
Small Kitchen Appliances,Air Fryer,Large (6L+),1800,2200,0.5,2,1.3,Larger households; restaurants.
